# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 242:         4.921       53.241      10.80  VLIELAND
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# VVN      = Minimum opgetreden zicht; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30 km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
# VVXH     = Uurvak waarin VVX is gemeten; 
# 
# STN,YYYYMMDD,  VVN, VVXH
# 
  242,19970523,   80,   11
  242,19970524,   77,    1
  242,19970525,   80,    9
  242,19970526,   45,    3
  242,19970527,   50,    1
  242,19970528,   67,   19
  242,19970529,   62,    1
  242,19970530,   67,    1
  242,19970531,   82,    2
  242,19970601,   77,    1
  242,19970602,   73,    1
  242,19970603,   46,    7
  242,19970604,   47,   15
  242,19970605,   60,   19
  242,19970606,   59,    1
  242,19970607,   48,   19
  242,19970608,    5,   18
  242,19970609,   60,   14
  242,19970610,   65,    6
  242,19970611,    7,    2
  242,19970612,    7,   19
  242,19970613,   50,   18
  242,19970614,   48,   11
  242,19970615,   32,   20
  242,19970616,   83,    1
  242,19970617,   82,    1
  242,19970618,   80,    1
  242,19970619,   65,    1
  242,19970620,   27,   11
  242,19970621,   61,   22
  242,19970622,   50,    1
  242,19970623,   56,    3
  242,19970624,   64,   24
  242,19970625,   30,    2
  242,19970626,   27,   21
  242,19970627,   27,   15
  242,19970628,   39,   22
  242,19970629,   56,    6
  242,19970630,   45,   24
  242,19970701,   58,    1
  242,19970702,   50,   19
  242,19970703,   56,    1
  242,19970704,   56,   13
  242,19970705,   56,   13
  242,19970706,   29,    5
  242,19970707,   59,    5
  242,19970708,   60,    3
  242,19970709,   60,   22
  242,19970710,     ,     
  242,19970711,     ,     
  242,19970712,     ,     
  242,19970713,    0,   11
  242,19970714,     ,     
  242,19970715,     ,     
  242,19970716,   28,   24
  242,19970717,   20,   20
  242,19970718,   62,    1
  242,19970719,   60,   14
  242,19970720,   67,    6
  242,19970721,   50,    9
  242,19970722,   24,   20
  242,19970723,   26,   19
  242,19970724,   18,   19
  242,19970725,   12,    2
  242,19970726,   15,   18
  242,19970727,   58,   20
  242,19970728,   62,    9
  242,19970729,   62,   15
  242,19970730,   56,   16
  242,19970731,   62,    1
  242,19970801,   11,    9
  242,19970802,   50,   11
  242,19970803,   80,   18
  242,19970804,   80,   18
  242,19970805,   65,    9
  242,19970806,   62,   15
  242,19970807,   62,   24
  242,19970808,   31,   12
  242,19970809,   56,   13
  242,19970810,   23,   24
  242,19970811,   65,   17
  242,19970812,   50,   16
  242,19970813,   28,   17
  242,19970814,   45,    1
  242,19970815,   58,   14
  242,19970816,   18,   17
  242,19970817,   17,   14
  242,19970818,    0,   21
  242,19970819,   35,   16
  242,19970820,   42,    3
  242,19970821,   25,   22
  242,19970822,   20,   16
  242,19970823,   23,    2
  242,19970824,   12,   15
  242,19970825,   15,   24
  242,19970826,   64,    1
  242,19970827,   42,   20
  242,19970828,   44,   19
  242,19970829,   58,   21
  242,19970830,   50,    7
  242,19970831,   59,   10
  242,19970901,   57,    7
  242,19970902,   59,    8
  242,19970903,   39,   17
  242,19970904,   42,   17
  242,19970905,   48,   10
  242,19970906,   58,    2
  242,19970907,   59,   16
  242,19970908,   63,   18
  242,19970909,   59,   22
  242,19970910,   57,   16
  242,19970911,   63,    6
  242,19970912,   50,   22
  242,19970913,   64,    1
  242,19970914,   63,   22
  242,19970915,   60,    9
  242,19970916,   59,   22
  242,19970917,   62,   22
  242,19970918,   61,   21
  242,19970919,   70,    1
  242,19970920,   80,    1
  242,19970921,   82,    1
  242,19970922,   70,    1
  242,19970923,   63,    1
  242,19970924,   61,   20
  242,19970925,   40,   20
  242,19970926,   61,   11
  242,19970927,   36,    7
  242,19970928,   24,   14
  242,19970929,   10,    3
  242,19970930,   23,   19
  242,19971001,   18,   20
  242,19971002,   50,   10
  242,19971003,   50,    8
  242,19971004,   57,    4
  242,19971005,   56,   20
  242,19971006,   33,    1
  242,19971007,   12,   15
  242,19971008,    9,    3
  242,19971009,   26,   22
  242,19971010,   58,   17
  242,19971011,   57,   21
  242,19971012,   61,    5
  242,19971013,   57,    5
  242,19971014,   59,   24
  242,19971015,   60,   15
  242,19971016,   26,    1
  242,19971017,   15,    1
  242,19971018,    0,   12
  242,19971019,    0,   24
  242,19971020,   68,   17
  242,19971021,   80,    1
  242,19971022,   60,    1
  242,19971023,   61,    4
  242,19971024,   59,   17
  242,19971025,   58,   20
  242,19971026,   60,   20
  242,19971027,   77,    3
  242,19971028,   70,    1
  242,19971029,   65,    2
  242,19971030,   63,    1
  242,19971031,   14,   14
  242,19971101,    0,   13
  242,19971102,    4,   24
  242,19971103,   57,   15
  242,19971104,   67,    1
  242,19971105,    2,    1
  242,19971106,   10,   14
  242,19971107,    6,   22
  242,19971108,   50,   10
  242,19971109,   50,   17
  242,19971110,   57,    3
  242,19971111,   58,   12
  242,19971112,    0,    1
  242,19971113,    1,    3
  242,19971114,   24,    4
  242,19971115,    0,    1
  242,19971116,    1,   23
  242,19971117,   56,    3
  242,19971118,   57,   13
  242,19971119,   58,   17
  242,19971120,   48,    2
  242,19971121,    3,    1
  242,19971122,    0,    4
  242,19971123,    7,   13
  242,19971124,   11,   17
  242,19971125,   22,   20
  242,19971126,   23,    1
  242,19971127,   20,   23
  242,19971128,    1,    1
  242,19971129,    8,   18
  242,19971130,   25,   23
  242,19971201,   57,   16
  242,19971202,    1,   21
  242,19971203,   59,   13
  242,19971204,   58,   22
  242,19971205,   58,    1
  242,19971206,   13,    6
  242,19971207,   16,   24
  242,19971208,   17,    2
  242,19971209,   48,   24
  242,19971210,   20,    1
  242,19971211,   30,    6
  242,19971212,   49,    5
  242,19971213,   58,   23
  242,19971214,   56,   22
  242,19971215,   65,    2
  242,19971216,   60,    4
  242,19971217,   56,    2
  242,19971218,   57,    1
  242,19971219,   12,   18
  242,19971220,   15,    2
  242,19971221,    0,   24
  242,19971222,   26,    6
  242,19971223,    1,   12
  242,19971224,    1,   17
  242,19971225,   17,   16
  242,19971226,   46,    7
  242,19971227,   25,   22
  242,19971228,   50,   18
  242,19971229,   20,   13
  242,19971230,   15,   15
  242,19971231,   34,   21
  242,19980101,    9,   22
  242,19980102,   42,   15
  242,19980103,   25,   15
  242,19980104,   45,   19
  242,19980105,   56,   22
  242,19980106,   40,    1
  242,19980107,   30,   16
  242,19980108,   50,    2
  242,19980109,   45,   24
  242,19980110,   56,   12
  242,19980111,   56,   12
  242,19980112,   40,    1
  242,19980113,   45,   22
  242,19980114,   56,    5
  242,19980115,   56,    3
  242,19980116,   49,   17
  242,19980117,   50,    1
  242,19980118,   50,   11
  242,19980119,   50,   23
  242,19980120,   50,   24
  242,19980121,   72,    2
  242,19980122,   50,    1
  242,19980123,   17,   18
  242,19980124,   62,   19
  242,19980125,   69,   21
  242,19980126,   58,   21
  242,19980127,   59,    3
  242,19980128,   12,    1
  242,19980129,   43,    4
  242,19980130,   42,    2
  242,19980131,   75,    4
  242,19980201,   77,   15
  242,19980202,   28,    1
  242,19980203,   40,    6
  242,19980204,   25,    6
  242,19980205,   30,   14
  242,19980206,   21,   16
  242,19980207,   14,   11
  242,19980208,   43,   10
  242,19980209,   27,   18
  242,19980210,   25,    5
  242,19980211,   36,    5
  242,19980212,   16,   10
  242,19980213,   10,   13
  242,19980214,   11,   14
  242,19980215,   22,   22
  242,19980216,   20,   13
  242,19980217,   46,    6
  242,19980218,    2,    1
  242,19980219,    1,    1
